Name,Address,State,County,Phone,Email,Website,Category,Facility_Type,Feedstock,Latitude,Longitude,NAICS_Code,Hours,Accepts_Dropoff,Fee_Structure,Fee_Details,Offers_Payment,Payment_Details
"Strategic Materials, Inc.","24 Branch Street, Saint Louis, MO, 63147",Missouri,,(314) 421-2127,,,GlassSecondary Processors,Glass Secondary Processors,Glass,38.6568209941763,-90.1874759747587,562920,Mon-Fri: 7AM-4PM,No,N/A,Commercial accounts only,No,
"Strategic Materials, Inc.","2550 West Minnesota Avenue, Indianapolis, IN, 46241",Indiana,,(317) 484-2550,,,GlassSecondary Processors,Glass Secondary Processors,Glass,39.744043019481,-86.2035930185594,562920,Mon-Fri: 7AM-4PM,No,N/A,Commercial accounts only,No,
"Strategic Materials, Inc.","2960 Farrar Ave, Modesto, CA, 95354",California,,(510) 357-0531,,,GlassSecondary Processors,Glass Secondary Processors,Glass,37.6343049982723,-120.939219017019,562920,Mon-Fri: 7AM-4PM,No,N/A,Commercial accounts only,No,
"Strategic Materials, Inc.","299 Beck Avenue, Fairfield, CA, 94533",California,,(510) 357-0520,,,GlassSecondary Processors,Glass Secondary Processors,Glass,38.2326640040767,-122.067679000119,562920,Mon-Fri: 7AM-4PM,No,N/A,Commercial accounts only,No,
"Strategic Materials, Inc.","300 Northridge Drive, Shelbyville, IN, 46176",Indiana,,,,,GlassSecondary Processors,Glass Secondary Processors,Glass,39.5461509793747,-85.7901020002505,562920,Mon-Fri: 7AM-4PM,No,N/A,Commercial accounts only,No,
"Strategic Materials, Inc.","300 Rye Street, South Windsor, CT, 6074",Connecticut,,(860) 289-8480,,,GlassSecondary Processors,Glass Secondary Processors,Glass,41.8583780116674,-72.5825231767178,562920,Mon-Fri: 7AM-4PM,No,N/A,Commercial accounts only,No,
"Strategic Materials, Inc.","301 S. 19th Avenue, Phoenix, AZ, 85009",Arizona,,(602) 253-6677,,,GlassSecondary Processors,Glass Secondary Processors,Glass,33.4443620049602,-112.099407022865,562920,Mon-Fri: 7AM-4PM,No,N/A,Commercial accounts only,No,
"Strategic Materials, Inc.","3211 E. 26th Street, Vernon, CA, 90023",California,,(323) 415-0166,,,GlassSecondary Processors,Glass Secondary Processors,Glass,34.013890993788,-118.214880962956,562920,Mon-Fri: 7AM-4PM,No,N/A,Commercial accounts only,No,
"Strategic Materials, Inc.","3240 Robinson Road, Midlothian, TX, 76065",Texas,,(972) 723-2422,,,GlassSecondary Processors,Glass Secondary Processors,Glass,32.4704630172209,-96.9539350350173,562920,Mon-Fri: 8AM-5PM,No,N/A,Commercial accounts only,No,
"Strategic Materials, Inc.","407 E. Garfield, Ashley, IN, 46705",Indiana,,(260) 587-3000,,,GlassSecondary Processors,Glass Secondary Processors,Glass,41.5298540105717,-85.060433021309,562920,Mon-Fri: 7AM-4PM,No,N/A,Commercial accounts only,No,
"Strategic Materials, Inc.","4140 Patterson Avenue, Winston Salem, NC, 27105",North Carolina,,(336) 251-1025,,,GlassSecondary Processors,Glass Secondary Processors,Glass,36.1632579826579,-80.2583710384826,562920,Mon-Fri: 7AM-4PM,No,N/A,Commercial accounts only,No,
"Strategic Materials, Inc.","4910 Donovan Way, Suite R, North Las Vegas, NV, 89081",Nevada,,(702) 643-6001,,,GlassSecondary Processors,Glass Secondary Processors,Glass,36.2497730116591,-115.093659039165,562920,Mon-Fri: 7AM-4PM,No,N/A,Commercial accounts only,No,
"Strategic Materials, Inc.","503 Junction Road, Durham, NC, 27703",North Carolina,,(919) 956-8853,,,GlassSecondary Processors,Glass Secondary Processors,Glass,35.9980569994069,-78.8547149854036,562920,Mon-Fri: 7AM-4PM,No,N/A,Commercial accounts only,No,
"Strategic Materials, Inc.","5801 E. Marginal Way S, Seattle, WA, 98134",Washington,,(206) 762-3169,,,GlassSecondary Processors,Glass Secondary Processors,Glass,47.5516380125431,-122.337235977099,562920,Mon-Fri: 7AM-4PM,No,N/A,Commercial accounts only,No,
"Strategic Materials, Inc.","5850 88th Street, Sacramento, CA, 95828",California,,(916) 388-1076,,,GlassSecondary Processors,Glass Secondary Processors,Glass,38.521502166298,-121.376613965899,562920,Mon-Fri: 8AM-5PM,No,N/A,Commercial accounts only,No,
"Strategic Materials, Inc.","6420 19th Street E, Sarasota, FL, 34243",Florida,,(941) 758-7773,,,GlassSecondary Processors,Glass Secondary Processors,Glass,27.4272030114324,-82.5416159641657,562920,Mon-Fri: 7AM-4PM,No,N/A,Commercial accounts only,No,
"Strategic Materials, Inc.","7000 Bandini Blvd, Commerce, CA, 90040",California,,(323) 887-6831,,,GlassSecondary Processors,Glass Secondary Processors,Glass,33.9856546260104,-118.136304257806,562920,Mon-Fri: 7AM-4PM,No,N/A,Commercial accounts only,No,
"Strategic Materials, Inc.","825 S Loop W, Warehouse C, Houston, TX, 77054",Texas,,(713) 795-9800,,,GlassSecondary Processors,Glass Secondary Processors,Glass,29.6796550041436,-95.3877200164774,562920,Mon-Fri: 7AM-4PM,No,N/A,Commercial accounts only,No,
"Strategic Materials, Inc. ""College Park Plant""","3050 Roosevelt Highway, College Park, GA, 30349",Georgia,,(404) 761-1340,,,GlassSecondary Processors,Glass Secondary Processors,Glass,33.6215690167722,-84.4891159629863,562920,Mon-Fri: 7AM-4PM,No,N/A,Commercial accounts only,No,
TOMRA New York Recycling,"5923 Loomis Road, Farmington, NY, 14425",New York,,(585) 742-3790,,,GlassSecondary Processors,Glass Secondary Processors,Glass,42.9931582850373,-77.3488618234866,562920,Mon-Fri: 8AM-5PM,No,N/A,Commercial accounts only,No,
"A & W Iron & Metal, Inc.","7588 Otten Ln, Kewaskum, WI, 530409400",Wisconsin,,,,,Material Recovery Facilities (MRFs),MRF,,43.4660277626579,-88.2099823425885,562920,Mon-Fri: 7AM-5PM,By Appointment,Varies,Contact facility for rates,No,
A-1 Recycling-Div of The Peltz,"2020 W Morgan Ave, Milwaukee, WI, 532211533",Wisconsin,,,,,Material Recovery Facilities (MRFs),MRF,,42.9816560088572,-87.9394389819071,562920,Mon-Fri: 7AM-5PM,By Appointment,Varies,Contact facility for rates,No,
Accura Paper Recycling Inc (Waste Management),"7900 Sloane Dr, Little Rock, AR, 722063893",Arkansas,Pulaski,(501) 490-0733,,,Material Recovery Facilities (MRFs),MRF,,34.7081598847677,-92.194212475882,562920,Mon-Fri: 7AM-5PM,By Appointment,Varies,Contact facility for rates,No,
Action Environmental Group,"920 E 132nd St, Bronx, NY, 104543629",New York,,,,,Material Recovery Facilities (MRFs),MRF,,40.7977148009453,-73.9119363547824,562920,Mon-Fri: 6AM-6PM,By Appointment,Varies,Contact facility for rates,No,
Adams Brown Recycling Station,"9262 Mount Orab Pike, Georgetown, OH, 451219311",Ohio,,,,,Material Recovery Facilities (MRFs),MRF,,38.8930659829142,-83.8994189835616,562920,Mon-Fri: 7AM-5PM,By Appointment,Varies,Contact facility for rates,No,
Advance Disposal Co,"17105 Mesa St, Hesperia, CA, 923455155",California,San Bernardino,(760) 948-3122,,,Material Recovery Facilities (MRFs),MRF,,34.4450500162529,-117.290927012121,562920,Mon-Fri: 6AM-6PM,By Appointment,Varies,Contact facility for rates,No,
Advanced Disposal LLC,"300 Colonial Center Pkwy # 2, Roswell, GA, 300764899",Georgia,Fulton,(678) 341-7144,,,Material Recovery Facilities (MRFs),MRF,,34.0446579847694,-84.3252200001502,562920,Mon-Sat: 6AM-5PM,By Appointment,Varies,Contact facility for rates,No,
"Advanced Disposal Services Solid Waste Midwest, LLC","2905 Paine Ave, Sheboygan, WI, 530816428",Wisconsin,,,,,Material Recovery Facilities (MRFs),MRF,,43.7243730126527,-87.7426859586233,562920,Mon-Sat: 7AM-5PM,By Appointment,Varies,Contact facility for rates,No,
"Advanced Disposal Services Solid Waste Midwest, LLC","300 Raemisch Rd, Waunakee, WI, 535979665",Wisconsin,,,,,Material Recovery Facilities (MRFs),MRF,,43.1868460044204,-89.437893018796,562920,Mon-Sat: 6AM-5PM,By Appointment,Varies,Contact facility for rates,No,
"Advanced Disposal Services Solid Waste Midwest, LLC","600 Moore Rd, Plover, WI, 544673148",Wisconsin,,,,,Material Recovery Facilities (MRFs),MRF,,44.4561989905575,-89.5004309851213,562920,Mon-Fri: 6AM-6PM,By Appointment,Varies,Contact facility for rates,No,
Advanced Recycling Corporation,"307 White St, Danbury, CT, 06810",Connecticut,Fairfield,(203) 797-0378,,,Material Recovery Facilities (MRFs),MRF,,41.3993921763725,-73.4325491887119,562920,"Mon-Fri: 7AM-4PM, Sat: 8AM-12PM",By Appointment,Varies,Contact facility for rates,No,
"Alameda County Industries, LLC","610 Aladdin Ave, San Leandro, CA, 945774302",California,Alameda,(510) 357-7282,,www.alamedacountyindustries.com,Material Recovery Facilities (MRFs),MRF,,37.709726997516,-122.151497026045,562920,"Mon-Fri: 7AM-4PM, Sat: 8AM-12PM",By Appointment,Varies,Contact facility for rates,No,
All American Recycling Corp. of Clifton,"2 Hope St, Jersey City, NJ, 07307",New Jersey,,,,,Material Recovery Facilities (MRFs),MRF,,40.7393769298088,-74.0447237649795,562920,Mon-Sat: 7AM-5PM,By Appointment,Varies,Contact facility for rates,No,
"All County Waste Recycling, Inc.","1810 SW 42nd Way, Deerfield Beach, FL, 334429000",Florida,Broward,,,,Material Recovery Facilities (MRFs),MRF,,26.2907290068878,-80.1588390395784,562920,Mon-Sat: 7AM-5PM,By Appointment,Varies,Contact facility for rates,No,
"All Waste, Inc.","143 Murphy Rd, Hartford, CT, 06114",Connecticut,Hartford,,,,Material Recovery Facilities (MRFs),MRF,,41.7399050070625,-72.6562310348526,562920,Mon-Sat: 6AM-5PM,By Appointment,Varies,Contact facility for rates,No,
"Allied Waste Industries, LLC","2299 Kenmore Ave, Buffalo, NY, 142071311",New York,,,,,Material Recovery Facilities (MRFs),MRF,,42.9659068318856,-78.8977331756138,562920,Mon-Fri: 6AM-6PM,By Appointment,Varies,Contact facility for rates,No,
"Allied Waste Industries, LLC","43502 Oberlin Elyria Rd, Oberlin, OH, 440749591",Ohio,,,,,Material Recovery Facilities (MRFs),MRF,,41.2981319806065,-82.1706959615324,562920,"Mon-Fri: 7AM-4PM, Sat: 8AM-12PM",By Appointment,Varies,Contact facility for rates,No,
Allied Waste Recyclery,"215 E Dekalb Pike, King of Prussia, PA, 194062116",Pennsylvania,,,,,Material Recovery Facilities (MRFs),MRF,,40.0948710134695,-75.3546730314171,562920,Mon-Fri: 7AM-5PM,By Appointment,Varies,Contact facility for rates,No,
Alpine Waste and Recycling,"645 W 53rd Pl, Denver, CO, 802161600",Colorado,Denver,(303) 744-9881,,www.alpinewaste.com,Material Recovery Facilities (MRFs),MRF,,39.7975330146951,-104.994380010755,562920,Mon-Fri: 7AM-5PM,By Appointment,Varies,Contact facility for rates,No,
"American Disposal Recycling Services, Inc","10370 Central Park Dr, Manassas, VA, 201104196",Virginia,,,,,Material Recovery Facilities (MRFs),MRF,,38.7426710029797,-77.5005140050782,562920,Mon-Sat: 6AM-5PM,By Appointment,Varies,Contact facility for rates,No,
American Recycling Center,"10220 Residency Rd, Manassas, VA, 201102011",Virginia,,,,,Material Recovery Facilities (MRFs),MRF,,38.7332740932392,-77.528152576428,562920,Mon-Fri: 6AM-6PM,By Appointment,Varies,Contact facility for rates,No,
American Recycling of GA,"4785 Fulton Industrial Blvd SW, Atlanta, GA, 30336",Georgia,,,,,Material Recovery Facilities (MRFs),MRF,,33.7568849948034,-84.5453290289944,562920,Mon-Fri: 6AM-6PM,By Appointment,Varies,Contact facility for rates,No,
"American Recycling of Western North Carolina, LLC","1291 Sand Hill Rd, Candler, NC, 287156907",North Carolina,,,,,Material Recovery Facilities (MRFs),MRF,,35.5409129874506,-82.6475870249083,562920,Mon-Sat: 7AM-5PM,By Appointment,Varies,Contact facility for rates,No,
"American Waste, Inc.","280 Hughes Dr, Traverse City, MI, 496968255",Michigan,,,,,Material Recovery Facilities (MRFs),MRF,,44.7108169853272,-85.5883790112978,562920,Mon-Sat: 6AM-5PM,By Appointment,Varies,Contact facility for rates,No,
Andy's Recycling,"6320 McHenry St, Burlington, WI, 53105",Wisconsin,,,,,Material Recovery Facilities (MRFs),MRF,,42.6538399852132,-88.2868869734401,562920,Mon-Sat: 7AM-5PM,By Appointment,Varies,Contact facility for rates,No,
Apple Valley Recycling Center,"16608 Hunters Green Pkwy, Hagerstown, MD, 217402187",Maryland,,,,,Material Recovery Facilities (MRFs),MRF,,39.6261479890097,-77.7934509598619,562920,Mon-Sat: 7AM-5PM,By Appointment,Varies,Contact facility for rates,No,
Area Recycling Inc,"14323 State Route 29, Pekin, IL, 615548071",Illinois,Tazewell,(309) 353-3333,,www.pdcarea.com,Material Recovery Facilities (MRFs),MRF,,40.5279110188261,-89.6649420120123,562920,Mon-Fri: 6AM-6PM,By Appointment,Varies,Contact facility for rates,No,
Aronson Recycling Co,"513 Fond du Lac St, Waupun, WI, 53963",Wisconsin,,,,,Material Recovery Facilities (MRFs),MRF,,43.6420359267252,-88.7188582731886,562920,Mon-Fri: 6AM-6PM,By Appointment,Varies,Contact facility for rates,No,
Athens Recycling Information,"699 Hancock Indus Way, Athens, GA, 306051903",Georgia,Clarke,(706) 548-9808,,www.athensclarkecounty.com,Material Recovery Facilities (MRFs),MRF,,33.9635300049388,-83.3365600199143,562920,"Mon-Fri: 7AM-4PM, Sat: 8AM-12PM",By Appointment,Varies,Contact facility for rates,No,
Athens Services,"12303 Montague St, Pacoima, CA, 91331",California,,,,,Material Recovery Facilities (MRFs),MRF,,34.2552540145142,-118.401875020192,562920,"Mon-Fri: 7AM-4PM, Sat: 8AM-12PM",By Appointment,Varies,Contact facility for rates,No,
"Athens-Hocking County Recycling Centers, Inc","5991 Industrial Park Rd, Athens, OH, 457018736",Ohio,,,,,Material Recovery Facilities (MRFs),MRF,,39.3812830091367,-82.1734680245507,562920,Mon-Fri: 7AM-5PM,By Appointment,Varies,Contact facility for rates,No,
Atlantic Coast Recycling of Ocean LL,"611 New Hampshire Ave, Lakewood, NJ, 08701",New Jersey,,,,,Material Recovery Facilities (MRFs),MRF,,40.0639991529309,-74.1926101722111,562920,Mon-Fri: 7AM-5PM,By Appointment,Varies,Contact facility for rates,No,
"Attaway Recycling, LLC","150 Dundee Dr, Milledgeville, GA, 310617865",Georgia,Baldwin,(478) 414-1675,,www.attawayrecycling.com,Material Recovery Facilities (MRFs),MRF,,33.1189530124511,-83.2059660289464,562920,Mon-Fri: 7AM-5PM,By Appointment,Varies,Contact facility for rates,No,
Automated Material Handling,"1300 Seaview Avenue, Bridgeport, CT, 06606",Connecticut,,,,,Material Recovery Facilities (MRFs),MRF,,41.1812579916703,-73.1712149983138,562920,"Mon-Fri: 7AM-4PM, Sat: 8AM-12PM",By Appointment,Varies,Contact facility for rates,No,
"Balcones Recycling, Inc.","9301 Johnny Morris Rd, Austin, TX, 787241523",Texas,,,,,Material Recovery Facilities (MRFs),MRF,,30.3266510089518,-97.6260329958172,562920,Mon-Fri: 6AM-6PM,By Appointment,Varies,Contact facility for rates,No,
Baltimore County MRF,"201 West Warren Road, Cockeysville, MD, 21030",Maryland,,,,,Material Recovery Facilities (MRFs),MRF,,39.4748701993621,-76.6471713615728,562920,Mon-Fri: 6AM-6PM,By Appointment,Varies,Contact facility for rates,No,
Barron County Waste to Energy and Recycling Facility,"585 10 1/2 Ave, Almena, WI, 54805",Wisconsin,,,,,Material Recovery Facilities (MRFs),MRF,,45.3597828115646,-92.0330482436528,562920,"Mon-Fri: 7AM-4PM, Sat: 8AM-12PM",By Appointment,Varies,Contact facility for rates,No,
Bayshore Recycling Corp.,"75 Crows Mill Rd, Keasbey, NJ, 08832",New Jersey,,,,,Material Recovery Facilities (MRFs),MRF,,40.5115780003889,-74.3076780225651,562920,"Mon-Fri: 7AM-4PM, Sat: 8AM-12PM",By Appointment,Varies,Contact facility for rates,No,
"Bestway Recycling, Inc.","4005 Interpark Dr Ste A, Colorado Springs, CO, 809074213",Colorado,El Paso,(719) 203-3313,,www.bestwaydisposal.com,Material Recovery Facilities (MRFs),MRF,,38.8907570200463,-104.82986496055,562920,Mon-Sat: 6AM-5PM,By Appointment,Varies,Contact facility for rates,No,
BFI Philadelphia Transcycler Co,"2209 S 58th St, Philadelphia, PA, 191435935",Pennsylvania,,,,,Material Recovery Facilities (MRFs),MRF,,39.9327800096631,-75.2211659938195,562920,Mon-Fri: 7AM-5PM,By Appointment,Varies,Contact facility for rates,No,
Big Foot Recycling Center,"3685 Eureka Way, Redding, CA, 960010177",California,Shasta,(530) 244-2165,,www.bigfootrecycling.com,Material Recovery Facilities (MRFs),MRF,,40.5831289852892,-122.425581990939,562920,Mon-Fri: 6AM-6PM,By Appointment,Varies,Contact facility for rates,No,
"Birmingham Recycling & Recovery, LLC","9 41st St S, Birmingham, AL, 352221928",Alabama,Jefferson,(205) 591-8201,,www.birminghamrecyclingandrecovery.com,Material Recovery Facilities (MRFs),MRF,,33.5264140057967,-86.7750959874946,562920,Mon-Sat: 6AM-5PM,By Appointment,Varies,Contact facility for rates,No,
Blue Line Transfer Inc,"500 E Jamie Ct, South San Francisco, CA, 94080",California,,,,,Material Recovery Facilities (MRFs),MRF,,37.6487339835841,-122.381520002327,562920,Mon-Fri: 6AM-6PM,By Appointment,Varies,Contact facility for rates,No,
Boulder County Recycling Center,"1901 63rd St, Boulder, CO, 803012953",Colorado,Boulder,(303) 449-1857,,www.bouldercounty.org,Material Recovery Facilities (MRFs),MRF,,40.0182379968551,-105.208716003787,562920,Mon-Sat: 6AM-5PM,By Appointment,Varies,Contact facility for rates,No,
Bruin Waste Management,", Silverton, CO, 81433",Colorado,,,,,Material Recovery Facilities (MRFs),MRF,,37.813555,-107.6633,562920,Mon-Fri: 7AM-5PM,By Appointment,Varies,Contact facility for rates,No,
Buckingham Recycling Facility,"5980 Credit River Road SE, Prior Lake, MN, 55372",Minnesota,,,,,Material Recovery Facilities (MRFs),MRF,,44.703638010986,-93.3997759937308,562920,Mon-Fri: 7AM-5PM,By Appointment,Varies,Contact facility for rates,No,
Buckman Recycling Center,"2600 Buckman Road, Santa Fe, NM, 87507",New Mexico,,,,,Material Recovery Facilities (MRFs),MRF,,35.6954070114045,-105.977902973992,562920,Mon-Sat: 6AM-5PM,By Appointment,Varies,Contact facility for rates,No,
Buffalo Recycling Enterprises LLC,"266 Hopkins St, Buffalo, NY, 142201821",New York,,,,,Material Recovery Facilities (MRFs),MRF,,42.8458079895219,-78.8329515414466,562920,Mon-Sat: 7AM-5PM,By Appointment,Varies,Contact facility for rates,No,
Burbank Recycle Center,"500 S Flower St, Burbank, CA, 91502",California,,,,,Material Recovery Facilities (MRFs),MRF,,34.1755199870913,-118.308355025159,562920,Mon-Fri: 7AM-5PM,By Appointment,Varies,Contact facility for rates,No,
"Burrtec Waste and Recycling Services, LLC","13373 NAPA St, Fontana, CA, 923352930",California,San Bernardino,(951) 360-9073,,www.burrtec.com,Material Recovery Facilities (MRFs),MRF,,34.0888379905787,-117.511718998436,562920,Mon-Sat: 7AM-5PM,By Appointment,Varies,Contact facility for rates,No,
Burrtec Waste Industries,"1850 Agua Mansa Rd, Riverside, CA, 92509",California,,,,,Material Recovery Facilities (MRFs),MRF,,34.0220359824701,-117.381554999101,562920,"Mon-Fri: 7AM-4PM, Sat: 8AM-12PM",By Appointment,Varies,Contact facility for rates,No,
California Waste Solutions Inc.,"1005 Timothy Dr, San Jose, CA, 951331043",California,Santa Clara,(510) 832-8111,,www.calwaste.com,Material Recovery Facilities (MRFs),MRF,,37.3650499793538,-121.879807022344,562920,"Mon-Fri: 7AM-4PM, Sat: 8AM-12PM",By Appointment,Varies,Contact facility for rates,No,
California Waste Solutions Inc.,"1819 10th St, Oakland, CA, 946071451",California,Alameda,(510) 836-6200,,www.calwaste.com,Material Recovery Facilities (MRFs),MRF,,37.8108640051498,-122.302668002575,562920,Mon-Fri: 6AM-6PM,By Appointment,Varies,Contact facility for rates,No,
Cal-Waste Recovery Systems,"175 Enterprise Ct STE A, Galt, CA, 95632",California,,,,,Material Recovery Facilities (MRFs),MRF,,38.27039694333,-121.311908187956,562920,Mon-Fri: 6AM-6PM,By Appointment,Varies,Contact facility for rates,No,
Cascades New York Inc.,"1845 Emerson St, Rochester, NY, 146063123",New York,,,,,Material Recovery Facilities (MRFs),MRF,,43.1735154675197,-77.6802607335524,562920,Mon-Fri: 6AM-6PM,By Appointment,Varies,Contact facility for rates,No,
Casella Recycling - Auburn,"15 Hardscrabble Rd, Auburn, MA, 01501",Massachusetts,Worcester,(508) 721-2700,,www.republicservices.com,Material Recovery Facilities (MRFs),MRF,,42.192660003059,-71.8704448788755,562920,Mon-Fri: 7AM-5PM,By Appointment,Varies,Contact facility for rates,No,
Casella Recycling - Boston,"24 Bunker Hill Industrial Park, Boston, MA, 021291621",Massachusetts,Suffolk,(617) 242-7746,,www.republicservices.com,Material Recovery Facilities (MRFs),MRF,,42.378684651283,-71.0745402570229,562920,"Mon-Fri: 7AM-4PM, Sat: 8AM-12PM",By Appointment,Varies,Contact facility for rates,No,
Casella Recycling Materials Recovery Facility,"424 River Road, Lewiston, ME, 04240",Maine,,,,,Material Recovery Facilities (MRFs),MRF,,44.0493879299841,-70.185783677821,562920,"Mon-Fri: 7AM-4PM, Sat: 8AM-12PM",By Appointment,Varies,Contact facility for rates,No,
"Casella Renewable Systems, LLC","25 Greens Hill Ln, Rutland, VT, 057013804",Vermont,,,,,Material Recovery Facilities (MRFs),MRF,,43.6043059796115,-72.9929449935411,562920,Mon-Sat: 6AM-5PM,By Appointment,Varies,Contact facility for rates,No,
"Casella Waste Management, Inc.","357 Avenue, Williston, VT, 054957146",Vermont,,,,,Material Recovery Facilities (MRFs),MRF,,44.4625494911556,-73.1320844499419,562920,Mon-Fri: 6AM-6PM,By Appointment,Varies,Contact facility for rates,No,
"Cedar Avenue Recycling and Transfer Station, L.P.","253 Fulton St, Fresno, CA, 937213108",California,Fresno,,,,Material Recovery Facilities (MRFs),MRF,,36.7264790026129,-119.782513026047,562920,"Mon-Fri: 7AM-4PM, Sat: 8AM-12PM",By Appointment,Varies,Contact facility for rates,No,
Cedarwood-Young Company,"14620 Joanbridge St, Baldwin Park, CA, 917061750",California,Los Angeles,(626) 962-4047,,www.allancompany.com,Material Recovery Facilities (MRFs),MRF,,34.1053889804079,-117.957059991526,562920,"Mon-Fri: 7AM-4PM, Sat: 8AM-12PM",By Appointment,Varies,Contact facility for rates,No,
Charleston County MRF,"8099 Palmetto Commerce Parkway, North Charleston, SC, 29456",South Carolina,,,,,Material Recovery Facilities (MRFs),MRF,,32.953633089994,-80.0895211194127,562920,Mon-Fri: 6AM-6PM,By Appointment,Varies,Contact facility for rates,No,
City Carting & Recycling Inc.,"8 Viaduct Rd Stamford, Stamford, CT, 06907",Connecticut,Fairfield,(888) 413-3344,,www.citycarting.net,Material Recovery Facilities (MRFs),MRF,,41.0794229810496,-73.5194020222497,562920,"Mon-Fri: 7AM-4PM, Sat: 8AM-12PM",By Appointment,Varies,Contact facility for rates,No,
City Fibers,"2500 S. Sante Fe Ave, Los Angeles, CA, 90058",California,,,,,Material Recovery Facilities (MRFs),MRF,,34.0150220058929,-118.229967969577,562920,Mon-Fri: 6AM-6PM,By Appointment,Varies,Contact facility for rates,No,
"City Fibers, Inc.","16714 Schoenborn St, North Hills, CA, 913436108",California,Los Angeles,(818) 895-7203,,www.cityfibers.com,Material Recovery Facilities (MRFs),MRF,,34.222267998486,-118.496802001492,562920,Mon-Sat: 6AM-5PM,By Appointment,Varies,Contact facility for rates,No,
City of Columbia MRF,"5700 Peabody Road, Columbia, MO, 65202",Missouri,,,,,Material Recovery Facilities (MRFs),MRF,,39.014540287683,-92.2562104324147,562920,Mon-Sat: 6AM-5PM,By Appointment,Varies,Contact facility for rates,No,
City of Conway Recycling Center,"4550 US-64 , Conway, AR, 72034",Arkansas,,,,,Material Recovery Facilities (MRFs),MRF,,35.1114961841532,-92.5064658829035,562920,Mon-Sat: 7AM-5PM,By Appointment,Varies,Contact facility for rates,No,
City of Florence Recycling Center,"201 Railroad Avenue, Florence, AL, 35630",Alabama,,,,,Material Recovery Facilities (MRFs),MRF,,34.8064715713787,-87.6582646286302,562920,Mon-Sat: 6AM-5PM,By Appointment,Varies,Contact facility for rates,No,
City of Glendale Municipal Landfill and MRF,"11480 W. Glendale Avenue, Glendale, AZ, 85307",Arizona,,,,,Material Recovery Facilities (MRFs),MRF,,33.5472149977215,-112.309105979423,562920,Mon-Fri: 6AM-6PM,By Appointment,Varies,Contact facility for rates,No,
City of Milwaukee,"841 N Broadway, Milwaukee, WI, 53202",Wisconsin,,,,,Material Recovery Facilities (MRFs),MRF,,43.041902991497,-87.9088540039532,562920,"Mon-Fri: 7AM-4PM, Sat: 8AM-12PM",By Appointment,Varies,Contact facility for rates,No,
City of Rapid City,"5165 N Highway 79, Rapid City, SD, 577029688",South Dakota,,,,,Material Recovery Facilities (MRFs),MRF,,44.1343761584988,-103.300401270155,562920,Mon-Fri: 7AM-5PM,By Appointment,Varies,Contact facility for rates,No,
City of Santa Cruz,"605 Dimeo Ln, Santa Cruz, CA, 950605610",California,Santa Cruz,(831) 420-6270,,www.cityofsantacruz.com,Material Recovery Facilities (MRFs),MRF,,36.9765599989224,-122.106066021186,562920,Mon-Sat: 6AM-5PM,By Appointment,Varies,Contact facility for rates,No,
Clarke Co - Athens Dunlap Road MRF,"5700 Lexington Road, Winterville, GA, 30683",Georgia,,,,,Material Recovery Facilities (MRFs),MRF,,33.9260900132014,-83.265941982747,562920,"Mon-Fri: 7AM-4PM, Sat: 8AM-12PM",By Appointment,Varies,Contact facility for rates,No,
"Colgate Paper Stock Co., Inc.","12 Industrial Dr, New Brunswick, NJ, 08901",New Jersey,,,,,Material Recovery Facilities (MRFs),MRF,,40.4762329815312,-74.482467022949,562920,Mon-Fri: 7AM-5PM,By Appointment,Varies,Contact facility for rates,No,
Columbus Recycling & Sustainability Center,"8001 Pine Grove Way, Columbus, GA, 31907",Georgia,,,,,Material Recovery Facilities (MRFs),MRF,,32.49018500675,-84.8483510058599,562920,Mon-Fri: 7AM-5PM,By Appointment,Varies,Contact facility for rates,No,
Commercial Row Recycling MRF,"1100 E Commercial Row, Reno, NV, 89512",Nevada,,,,,Material Recovery Facilities (MRFs),MRF,,39.5303699930806,-119.798624971788,562920,Mon-Fri: 6AM-6PM,By Appointment,Varies,Contact facility for rates,No,
"Community Conservation Center, Inc","669 Gilman St, Berkeley, CA, 947101330",California,Alameda,(510) 524-0113,,www.berkeleyrecycling.org,Material Recovery Facilities (MRFs),MRF,,37.8790919845362,-122.305168994844,562920,Mon-Fri: 6AM-6PM,By Appointment,Varies,Contact facility for rates,No,
Community Waste Disposal,"2010 California Crossing Road, Dallas, TX, 75220",Texas,,,,,Material Recovery Facilities (MRFs),MRF,,32.8659209994908,-96.9120130301043,562920,Mon-Sat: 7AM-5PM,By Appointment,Varies,Contact facility for rates,No,
Consolidated Volume Transporters Inc,"1131 N Blue Gum St, Anaheim, CA, 928062408",California,Orange,(714) 238-3301,,,Material Recovery Facilities (MRFs),MRF,,33.8490979996739,-117.87106996303,562920,"Mon-Fri: 7AM-4PM, Sat: 8AM-12PM",By Appointment,Varies,Contact facility for rates,No,
Costal Enterprises Inc,"417 Meadowview Rd, Jacksonville, NC, 285407313",North Carolina,,,,,Material Recovery Facilities (MRFs),MRF,,34.7985919866704,-77.5391349650636,562920,Mon-Fri: 6AM-6PM,By Appointment,Varies,Contact facility for rates,No,
"Cougle's Recycling, Inc.","1000 S 4th St, Hamburg, PA, 195269208",Pennsylvania,,,,,Material Recovery Facilities (MRFs),MRF,,40.5412649831462,-75.9789470378212,562920,Mon-Fri: 6AM-6PM,By Appointment,Varies,Contact facility for rates,No,
